,track,artist,track_id,release_date,dance,energy,loud,speech,acoust,live,valence,tempo,sim_score
933,Matter of Time,Eddie Vedder,3PbPLPjQDuliGVHItDtUXr,2020-11-18,0.374,0.358,-9.979,0.0304,0.859,0.124,0.23,111.831,-28.688753146072152
934,Ride - Edit,Lenny Kravitz,32MB6prxawrLGkw6knhJBb,2020-05-29,0.513,0.807,-5.498,0.0308,0.0549,0.0948,0.765,173.367,-31.5256823518367
935,Closer,Travis,7jP2937OACDPrN53DzO0Ye,2007-05-07,0.538,0.581,-7.816,0.0235,0.204,0.13,0.269,108.108,-32.00407715729469
936,"Call It Fate, Call It Karma",The Strokes,3Y4rUyw7XBCK6hGHCOt6rp,2013-03-25,0.544,0.241,-14.779,0.03,0.983,0.101,0.359,109.437,-32.28069281973271
937,Just Breathe - acoustic at home,Eddie Vedder,7ymjj8XtifcKzdebJ5uJBk,2020-12-25,0.431,0.33,-10.638,0.0279,0.732,0.111,0.389,106.921,-33.62670751935068
938,Your Blood,Nothing But Thieves,6rH6a6xRZ9SU1aWo8ntr4n,2021-07-23,0.306,0.383,-5.942,0.0304,0.25,0.113,0.137,175.929,-34.11011578753568
939,Marigold - B-Side,Nirvana,40VSbBSYbPN10vJYeZq4tm,1993-09-21,0.367,0.326,-13.025,0.0395,0.126,0.12,0.333,175.109,-34.4172805717938
940,Throw Your Arms Around Me,Various Artists,2700OU3irTISouxpxSht1u,2013-09-27,0.379,0.458,-8.101,0.0279,0.699,0.333,0.469,105.632,-34.50399100662355
941,Home,Foo Fighters,2fDVMNQmFuMORDD3dP7GkN,2007-09-25,0.409,0.152,-14.579,0.0391,0.819,0.1,0.112,105.5,-35.963325736984295
942,Road Trippin',Red Hot Chili Peppers,7Gpr3kKk4BMgItz6UbI73q,1999-06-08,0.378,0.474,-8.202,0.0271,0.28,0.117,0.38,102.379,-37.740883475492126
